body,label
الإعلامي جمال ريان يتألم بما تفعله المملكة العربية السعودية ودويلة الشر الإمارات بالشعب الفلسطيني ويقول لهم أنتم تغدرون بلفلسطينيين.,not bullying
طوابير وزحام على السكر والزيت وكتير من المنتجات الغذائية,not bullying
وتقولى #الدولار_يترنح طيب الاسعارمش راضيه تترنح ليه,not bullying
الشعب هو اللى بنترنح من الغلاء والله,not bullying
المدارس ورمضان والغلاء الشعب حقيقى بيتفرم,not bullying
ارحموا بقى,not bullying
"لمًا تاكل تلات طقات فول وطعمية وتروح عالقهوه مسخره""",not bullying
ولعت شرارة الحرب الاهلي في تل ابيب...!,not bullying
الهم زد وبارك بقتلهم...,not bullying
"إسرائيل مازالت "" بانتظار موافقة من القائد يحيى السنوار على الصفقة ......... السنوار كابوسهم الذي لا ينتهي",not bullying
شاهد الاجرام الصهيوني الوحشي... مستوطنون تحت حماية جيش العدو الاسرائيلي يعتدون على مزارعين ويسرقون عدداً من أغنامهم في قرية رأس العوجا شمال مدينة أريحا بالضفة الغربية... #المعفن_الجربوع_الاقرع #طريق_العار_البري #القصف_الامريكي #ولي_العهد #غلاء_المعيشة #ارحل_يا_سيسي,not bullying
مواطن مصري يشكو ما الت اليه حاله من مدير شركة لمواطن ينام عالارض وقد باع اثاث منزله,not bullying
انه قهر الرجال ياساده واعوذ بالله منه,not bullying
"علمتنا #غزة_الآن ،أن اليهود لا يخشون إلّا من الجنود المصلّين، والجباه الساجده، فهم المجاهدون حقا،",not bullying
"أمّا ابطال موائد المفاوضات فهم في مأمن من اليهود، واليهود في مأمن منهم.",not bullying
اجري يا فرخة ورا #بلحة ما تسيبهوش حرامي #البيض بيضتك زي #الدهب يا فرخة البيض ب 6 جنية هو مفكرها لعبة ولا ايه,bullying
هو ده العرض أنا مش شايفة أي عرض ده سعر الكيلو كان قبل يومين ب100,not bullying
مواطن يصرخ ( وسطى اتقطم وانا بشتغل وعمري 66 حسبي الله فيك ياسيسي وفي اللي حطك علي حكم مصر .. انت جاي تدمرها وتخربها,not bullying
هو العرجاني بقى مهندس من امتى,not bullying
هو احنا بلد العجائب بس كده,not bullying
وسعت جدا,not bullying
مفيش غيره معفن فعلا وجربوع ابن مليكه احلي ترند دي ولا إيه ارحل عشان شبعنا فقر علي اديك ياابن الفقريه يا جربوع,bullying
هي الفلوس قاطعة عندنا بس ولا في الشارع كله ولا هي قاطعة عمومي,not bullying
جوز الكوارع ب800 جنيه تقولش كوارع هيفاء وهبي,bullying
"حتى إبليس مايدري وش السالفة""",not bullying
القلب ع القلب رحمه,not bullying
الا خرب الدنيا وغلاء الاسعار بعد جشع التجار,not bullying
عمرو اديب و لميس الحديدي بيقدموا إعلام,not bullying
"#الدولار بيقول مالك يا صحبي أحكيليو #الجنية_المصرى يرد سبني في حالي يا زميلي وبهاليل بلحة لسه منتظرين الخير القادم من رئيس العصابه #المكسيكي_جاب_درفها يا شعب المحروسة، وال ليه فلوس في #البنك_المركزي",bullying
"يروح ياخدها قبل ما #المعفن_الجربوع_الاقرع يلبسك الخازوق""",bullying
لو تعثرت دابه فى العراق لأرتفع سعر الدولار فى مصر,not bullying
انا ربنا خلى معايا البركة,not bullying
السيسى بالظبط أقسم بالله,not bullying
علبة السمنة بالف جنيه أحيه,bullying
نيكولاى تشاوشيسكو اثناء اعدامه بتهمة تخريب الاقتصاد فى رومانيا قال لهم لقد تركت لكم مبانى تحتاجون 20 سنه من اجل طلائها فقط فكان رد الشعب والمحكمة العسكرية الناس لا تاكل الطوب,not bullying
التاريخ يعيد نفسه,not bullying
#المعفن_الجربوع_الاقرع اتفو عليكيامعفن,bullying
البانيه ب 220ج,not bullying
شعب لم يجد من يحنو عليه بصحيح,not bullying
كيلو الفاصوليا البيضا أغلي من كيلو الفراخ,not bullying
العجب العجاب كنا كده وبقينا كده ورغم من كده خلينا البلد والشعب كده وده قمة الإعجاز العلمي,not bullying
(الذين قال لهم الناس إن الناس قد جمعوا لكم فاخشوهم فزادهم إيمانا وقالوا حسبنا الله ونعم الوكيل).الحرب الsهيو صليBيه.أين العرب المسلمين؟اللحظات الاخيره كيلو البانيه القوات المسلحه #الاسعار_الجديده.#ارحل_يا_سيسي.#إبراهيم_العرجاني.#القصف_الامريكي.#السيسي_خربها.#المعفن_الجربوع_الاقرع,bullying
اللي ف بالي #المعفن_الجربوع_الاقرع,bullying
"القوات المسلحة اليمنية تنشر مشاهد لمناورة ""اليمن سند فلسطين""، تحاكي اقتحام مستوطنة صهيونية وتفجيرها بعد أسر جنود من داخلها",not bullying
من حقها الكيلو 450ج,not bullying
#يثير الرعب والقهر في نفوس الجميع,not bullying
فار مذعور ...!!,not bullying
ما كفايا كده سواقة ياشيخ حسنى الله يحرق ميتين أمك,bullying
الفرق بين سكر فساد 30 سنه وسكر انجازات البركة 10سنين,not bullying
#NAME?,not bullying
مش حاسيبها إلا لما يخلص بنزينها,not bullying
تماماً بالظبط السيسي معفن وجربوع وأفرع واوزعة ومهزأ,bullying
رقصتي وهيصتي وانتخبتي...اشربي بقي ي حاجة,not bullying
أيوه كده الحمد لله كنت فقدت الأمل,not bullying
أخيرا الناس بقت بتتكلم علني عن #ثورة,not bullying
خلونا منخافش تاني ونبقى أيد واحدة,not bullying
بلدنا ضاعت وعايزين نرجعها تاني,not bullying
"دايما اللي صوته حلو صعب تقنعه يغنيلك ، لكن اللي صوته وحش مفيش حاجه بتسكتوا الا الشبشب .#المعفن_الجربوع_الاقرع",bullying
مواصفات ابن الكلب (البشري),bullying
#NAME?,bullying
#ابن_الكلب,bullying
"بعد ما بقى الا #ابن_الذيب #ابن_الكلب يتطاول على سيد اسياده ، فيك حرة و بتكتب شعر اكتب عن التيوس مالوتك مو عن اميرنا",bullying
المقطع مو واضح ... الصوت مكتوم لانك جالس تنشر تغريداتك من مكان مكتوم,not bullying
خلاص وقف نشر لين نشوف لك حل ونطلعك من طيييز التاريخ,bullying
اشوف الوضع عاجبك هناك ؟,not bullying
مستانس في مكانك ؟,not bullying
#ابن_الذيب و #ابن_الكلب,bullying
وسيم #ابن_الكلب يوسف,bullying
| صور لانفاق جديده تحت المسجد الاقصى المبارك بهدف و #تهويد #القدس,not bullying
تم افتتاحها بحضور مبعوث ترامب للشرق الاوسط,not bullying
وسفير الولايات المتحدة الامريكية لدى دولة الاحتلال ديفيد فريدمن #ابن_الكلب,bullying
"يمتد هذا النفق من سلوان باتجاه السور الجنوبي الغربي للمسجد الاقصى المبارك""",not bullying
استقالة النواب المبعوصين يللي اكلو خازوق عتخن المدفع لي اجا عليا بيك يا ابن العميل,bullying
موجوع عارفين بس السيد اكبر منك ولبنان منو عصورة بنت لبنان بيخرج رجال مش متلك يا فوفو النحس,not bullying
"#عباس يصف السفير الأمريكي فريدمان بـ #ابن_الكلب والأخير ""معاداة للسامية أو خلاف سياسي""",bullying
#فريدمان_ابن_الكلب,bullying
الفرق بين الرجال واشباه الرجال :) الجيش المصري رجال و #محمد_علي #ابن_الجزمه اشباه رجال,bullying
احمد فلوكس الفنان المحترم شابوه بيوجهه كلمه ل #محمد_علي #ابن_الجزمه اشباه الرجال اللي عمرنا ما سمعنا عنه ولا نعرفه إلا من فيديوهاته المسخره الاخيره اللي المفروض تتعرض علي قناة كوميدي,bullying
#ابن_الجزمه دا لازم يتحاسب ياجدعان,bullying
بتلعب مصارعه يا حلوف!!! #ابن_الجزمه,bullying
كنت داخل أحط الصورة دي تحت أي هاشتاج مناسب... وبصراحة مالقيتش أنسب من هاشتاج #ابن_الجزمه,bullying
#ابن_الجزمه,bullying
#مشعل_مات,not bullying
#المعاشات_العسكريه,not bullying
#سيب_ايدي,not bullying
اكتشفت إني بقيت شحط ولسه بخاف من الدبان #ابن_الجزمه الكبير ابو صوت عالي ده,bullying
ابو تقل دم أمك #ابن_الجزمة,bullying
هربهم #ابن_الجزمة,bullying
مسطحة ولامدورة الرجالة مابترحمش ان شا الله مثلثة #ابن_الجزمه,bullying
صدق انت #ابن_الجزمه لما تضحك ع الام وتجيب بنت وتسيبها ولما البنت تكبر عاوز تتجوز بنتك متعلل بعوار فقهى لللامام الشافعى انت تتعدم فى ميدان عام رميا بالشباشب والجزم,bullying
ارحل ارحل يا ابن الجزمة #ابن_الجزمة,bullying
"موبايلى بيكلمنى وبيقولى لقد نفذ طاقتك، ونرجو تعديل المود وضبط المزاج ب فنجان قهوة محوج من أيد الكنكه ي #ابن_الجزمه",bullying
راموس جهز نفسك لبطولة المصارعه بجده يا #ابن_الوسخه #ابن_الجزمه @SergioRamos @Turki_alalshikh,bullying
ﻋـﻦ ﺷـﺨـﺺ ﻓـﻰ ﺣـﯿـآة كل وآﺣـﺪ ﻓـﯿـﻨـﺂ ﻋـﻠـﻤـﻨـﺂ آزآى ﻧـﻌـﯿـﻂ ﻣـﻦ ﻗـﻠـﺒـﻨـﺂ ﺑـﺠـﺪ # ! آﯾـﻮة ﻫـﻮ #آﺑـﻦ_آﻟـﺠـﺰﻣه آﻟﻠـﻰ ﺟـہ ﻓـﻰ ﺑـﺂﻟك دﻟـﻮﻗـﺘـﻰ,bullying
تتخلع رقبتك يا راموس الكلب ان شاء اللّه يا #ابن_الجزمه,bullying
راموس يابن الوسخه نكدت عليا و قفلتنى من ام الماده يلعن ميتين ام الكورة اللي بالشكل دا #راموس_الكلب #ابن_الوسخه #ابن_الجزمه,bullying
(العميل الصهيوني) السيسي #ابن_الجزمة خسرنا مياه النيل باتفاقية مع #إثيوبيا في 2015م. و تيران وصنافير باتفاقية مع #السعودية في 2016م. وحقوق مصر البحرية في المتوسط باتفاقية مع #اليونان 2020م. #افضح_السيسي_بورقه #السيسى,bullying
لوسمحت اللقب دة يخص احمد موسي من زمان #ارحل_ياسيسي #ارحل_يا_سيسي #الثورة_مستمرة #ابن_الجزمة,bullying
يـــــور فيـــوتشـــر يـا #ابن_الجزمة,bullying
#رأآها تشترى #العسل فقال لها #ازاي العسل يشترى #عسل #فقالت لهہ #عآادى جدا زى ما #ابن_الجزمہ هياخد #بالجزمہ دلوقتى,bullying
اضرب فى المليان #ابن_الجزمة,bullying
لقيت هاشتاجين تريند الاول #ابن_الجزمة والتانى #ابن_الوسخه بس سألت نفسى ياترى مين المقصود ؟,bullying
انا حاسه ان أصاله كانت عاوزه تقول و أما ف خانه الذكريآت ف انت يا #ابن_الجزمه ف الخانه الأخيره,bullying
#ابن_الجزمة اللى اسمه جمال صابر عايز يقلب حوار شبرا فتنة طائفية علشان يطلع ابنه منها و يقولك مسيحيين حاولوا يهدوا جامع؟!! #مرسى #شبرا #اخوان,bullying
راحـت تشـتري #عسل فقــال لـهـا گيـف #العسـل يشتــري #عسل فقـالت عـاٱدي مـا #ابـن_الجـزمة هيــاخد بالجـزمة دلـوقـتي,bullying
ﻋﻦ ﺷﺨﺺ ﻓﻰ ﺣﯿاة كل واﺣﺪ ﻓﯿﻨا ﻋﻠﻤﻨا إزاي ﻧﻌﯿﻂ ﻣﻦ ﻗﻠﺒﻨا ﺑﺠﺪ ! أﯾﻮة ﻫﻮ #أﺑـﻦ_الجزمة اﻟﻠـي جه ﻓي بالك دﻟﻮقتي دا #حقيقة !!,bullying
الله اكبر فوق كيد الظالمينmبدأت المخابرات في بداية تسريب المعلومات mبسم الله المخابرات تبدأ في فضح #ابن_الجزمة,bullying
مكنتش بكره حد اد الواد اللى كان بيروح الفصل التانى عشان يجيب عصايا #ابن_الجزمه,bullying
انا عاااااوز اشوف #ابن_الجزمه اللی اخترع الفلوس علشان اقوله حرام علیک کان زمانا دلوقتی بنتجوز بطبق #بیض_احمر و#کیلو_سمنه و #وبتنجنین,bullying
لو كان السيسي #ابن_الجزمة امال هو نفسه يبقى ايه,bullying
السيس. ابن. متناكة. موش. ابن. جزمة. وابن. يهودية. #أبن_الجزمه,bullying
عن #ابن_الجزمه الى قال معرفه الناس كنوز,bullying
"ملخص اهداف مباراة الاهلى و الزمالك 3-3 فى الدورى المصرى اجمل مباريات القمة جنون مدحت شلبى + 90 ""ابن الجزمه"" #ابن_الجزمه",bullying
#رأآها تشترى #العسل فقال لها #ازاي العسل يشترى #عسل #فقالت لهه #عآادى جدا زى ما #ابن_الجزمه هياخد #بالجزمه دلوقتى,bullying
حتي العارضة مش راضية عنك يا راموس يا #ابن_الجزمه,bullying
أنهارده أخر يوم يا #سيسى يا #أبن_الجزمة,bullying
دفعت كم يا تركي ل #راموس_الكلب #ابن_الجزمة,bullying
It is my responsibility to inform you that @stinzraetpht condemns Sergio Ramos’s disgraceful actions and vows to give him the punishment he deserves when he becomes president #stinz2020 #ابن_الوسخه #ابن_الجزمه #راموس_الكلب #SergioRamos #RealMadrid,bullying
دفعت كم يا تركي ل #راموس_الكلب #ابن_الجزمة,bullying
بيقلك مرة طفل مسكين دخل كنتاكي فقام واحد من اللي هناك و قالو اطلع يا #ابن_الجزمة مش ناقصين قصص مساوية على الفيس و تويتر,bullying
#ابن_الجزمه ده انا عارفه,bullying
#هتعرف قيمتي انا بعدين وتتندم عليا #سنين هاسيبك تمشي بس #خلاص حبيبي ان روحنا #مش راجعين يا #ابن_الجزمه,bullying
خلصت فيك الشتايم و الحركات القبيحة يــا #إبن_الجزمة,bullying
امبارح بس فاز بترند #ابن_الوسخه اعتقد أنه مش خساره فيه #ابن_الجزمه,bullying
@Sarahcarr اصوت ل#مرسي قدام #ابن_الجزمة,bullying
"تركيا تنهار امنياً ، والهاربون والمتيمون والمعجبون باجواء تركيا وثقافتهم محجورين في غرفهم كالكلاب ويتمنون العوده لبلدهم بسبب انهيار الامن والجوع والقتل والعنف ، بركاتك يااردوغان !! #ابن_الجزمه",bullying
@bentmasrya100 #ابن_الجزمه هيوصل تريند,bullying
#ابن_الجزمة ايوه هوا السيسي انت توقعت صح هوا في غيرة #ميدان_التحرير,bullying
ريهانا تدخل نادي المليارديرات لتصبح أغنى مغنية في العالم بثروة تقدر بـمليوون #عمرو_حمزاوي #ابن_الجزمة,bullying
أحمد موسى من يومين: ليه منطبقش الحظر الكلي زي السعودية والاردن. أحمد موسى بعد القرار: لا يمكن نطبق الحظر الكلي.. دا رايي انا .. مش هينفع احنا منستحملش. دا #ابن_الجزمة و #بنت_الوسخة مع بعض.,bullying
كان كل حلمه يشتغل في المكان الترفيهي اللي بروح فيه تقريباً خمسه ايام في الأسبوع لان مستوي المكان دا احسن بكتير من شغلانته وقرر يسيب شغله الأساسي ولانه صاحبي سهلته الموضوع واشتغل فطلبت منه خدمه بسيطه في مجاله اتنك عليا ورفض اتاري اتمسكن لحد متمكن #ابن_الجزمه#,bullying
"#الزمالك_طلائع_الجيش #مساء_الخير احلى هدف امام عاشور السيئة الوحيدة في المتش هي ايمن الكاشف `""ابن الجزمه'""حقيقي #ابن_الجزمه",bullying
"أحمد عطوان @ahmedatwan66 #ابن_الجزمة خسرنا مياه النيل باتفاقية مع #إثيوبيا في 2015م،و تيران وصنافير باتفاقية مع #السعودية في 2016م ، وحقوق مصر البحرية في المتوسط باتفاقية مع #اليونان 2020م . #افضح_السيسي_بورقة",bullying
سيذكر التاريخ ان الفيروس #ابن_الجزمة ملبس العالم كله بيجامات فى نفس ذات الوقت,bullying
طلع له لقب جديد !! #تركي_آل_الشيخ #ابن_الجزمة,bullying
من أحلى الڤيديوهات اللي الواحد ممكن يشوفها :) #ارحل #مرسي #ابن_الجزمة #الاخوان,bullying
#ابن_الجزمة هو من يبيع بلده وجيشه مقابل ليرات تركية قبل هروبك من مصر كالخروف لم يكن أحد يعرفك كنت نكرة الان الخرفان صيتوك مقابل بيع شرفك واعتيادك العهر والنطاعة ويستمر #السيسي حارق دمك ودم اللي بيشغلوك يا قفا,bullying
مواصفات ابن الكلب (البشري) - ينقض عليك في اول فرصة يخلص مصلحته معك #ابن_الكلب,bullying
"بعد ما بقى الا #ابن_الذيب #ابن_الكلب يتطاول على سيد اسياده ، فيك حرة و بتكتب شعر اكتب عن التيوس مالوتك مو عن اميرنا",bullying
المقطع مو واضح ... الصوت مكتوم لانك جالس تنشر تغريداتك من مكان مكتوم خلاص وقف نشر لين نشوف لك حل ونطلعك من طيييز التاريخ اشوف الوضع عاجبك هناك ؟ مستانس في مكانك ؟#ابن_الذيب و #ابن_الكلب,bullying
وسيم #ابن_الكلب يوسف,bullying
| صور لانفاق جديده تحت المسجد الاقصى المبارك بهدف و #تهويد #القدس تم افتتاحها بحضور مبعوث ترامب للشرق الاوسط وسفير الولايات المتحدة الامريكية لدى دولة الاحتلال ديفيد فريدمن #ابن_الكلب يمتد هذا النفق من سلوان باتجاه السور الجنوبي الغربي للمسجد الاقصى المبارك,bullying
استقالة النواب المبعوصين يللي اكلو خازوق عتخن المدفع لي اجا عليا بيك يا ابن العميل موجوع عارفين بس السيد اكبر منك ولبنان منو عصورة بنت لبنان بيخرج رجال مش متلك يا فوفو النحس,bullying
اللهم يسر كل صعب وهوّن كل جرح وداوي كل مريض ونجي أهلنا في فلسـ.طـ.ين..,not bullying
وقفت الحرب والله وقفت والله الحمد لله يارب الحمد الله يارب,not bullying
أنت المقصود,not bullying
رساله من نصيبك,not bullying
"لعلك تنام في يوم الجمعة علي أمر قد يأست منه ليوقظك الله بإنفراجه.. اكتب الصلاة على النبي ومررها بنيه الفرج""",not bullying
اللهم بارك لنا في رجب وشعبان وبلغنا رمضان..,not bullying
وفي ليله الجمعه..,not bullying
الأهلي يقيد وسام أبو علي و ٦ ناشئين بالقائمة الإفريقية,not bullying
في منطقة عسير .. الضباب يشكل لوحات جمالية طوال الليالي الشتوية.,not bullying
"""لم أخرج منها إلا برحمتك يا الله.""",not bullying
"""ثمَّ عُدت إلى ما كُنت عليه، صمتٌ طويل وتجنّب للحديث، ورغبة في البقاء لوحدي""",not bullying
لبسك حلو,not bullying
عيونك حلوه,not bullying
ريحتك حلوه,not bullying
"والله انها The best compliment""",not bullying
رحيل,not bullying
"رمضان يجمعنا""",not bullying
"ما أصعب أن يحارب الإنسان ، شعوره !",not bullying
مافي شيء اسمه صداقة بين الرجل والمرأة.,not bullying
"في علم النفس : .أعظم قوة يحصل عليها الانسان هي ضَبطه لنفسه""""""",not bullying
"أكثر شخص حبيته من كل قلبك، سيكون أكبر درس لك بالحياة.",not bullying
"والحاصل أني كل ليله : "" أهرب من ضجيج الناس ويلاحقنيّ ضجيج أفكاري "".",not bullying
وفي يوم الجمعه,not bullying
عمر الزهور,not bullying
اللهم إني أحسنتُ بِكَ الظَّن فاجبُرني ..,not bullying
يتم اليوم لاعبنا محمد عبد المنعم عامه الـ25,not bullying
""" في يوم الجمعه اللهم شي يغير كل شي """,not bullying
وفي يوم الجمعة..,not bullying
"فوَّضتُك أمري وحيرتي وشتاتي فوَّضتك الأبواب المُغلقة التي مفاتيحها بين يديك، والأمور الصعبة التي تيسيرها هينٌ عليك، فوَّضتك الطرق التي لا أعلم نهايتها والمسافات التي لا أعلم حجمها، فوضتك سعادتي فلا تجعل همّاً يشقيني ولا خوفاً يرهقني. """"""",not bullying
كل ما كبرت فهمت شنو يعني keep your happiness private,not bullying
"""ستنجو، لكن ستُصبح شخصاً آخر.""",not bullying
"""ومن يدري رُبّ ليلة واحده تُعطيك ما شحت بهِ السنوات.""",not bullying
وإن تمادى الهمّ فيك فلطفُ الله أكبر,not bullying
"بشارة لك : أقسم لك لن ينتهي فبراير إلا وأنت مجبور.. أكتب يارب.""""""",not bullying
""" كأنني مصاب بلَعنة الفِقد، كُلما أحببت شيئاً فارقني """,not bullying
كررها دائما..,not bullying
"""لا أُريدك.""",not bullying
يارب ايقظني في أحب الأوقات إليك لأدعوك فتستجيب لي وأستغفرك فتغفر لي.,not bullying
إن الله إذا أعطى أدهش ..,not bullying
"اللهم أستودعك نفسي من ذُل الحياة ومن ضجيج التفكير،عوضني عن كل شيء أحببته فخسرته، طابت له نفسي فذهب، صدقته فكذب، استأمّنته فغدر ، اللهٌم لا تشغلني ولا تعلقني بشيء لم تكتبه لي وقدّر لي كل فرح لم أتوقعه، اللهم و إن ضلت نفسي طريقها فردها إليك ردا جميلًا.""""""",not bullying
"""الصبر عبادة عظيمة ، أن تصبر على ابتلاء لا تعرف سببه ولا حلّه، أن تصبر على دعوة لا تعرف متى تُستجاب، تصبر على مرض، على شخص، على رزق .. فكرة الصبر نفسها اختبار صعب جداً للنفس، لذلك قال الله عز وجل ""وبشِّر الصابرين"". فاللهم بحجم صبرنا على همومنا ارزقنا بفرحة تسعد قلوبنا.""",not bullying
الباقيات الصالحات خير وابقي,not bullying
"فيه قوة خارقة اسمها ""اليقين بالله"" نتخطى بها أزماتنا ونستمر في الدعاء حتى لو كانت كل الأبواب مغلقة والظروف ليست مُيسرة وكل الأسباب توحي بعكس ما نتمنى لكننا على يقين أن الله سيصلح كل شيء في الوقت المناسب،ولأننا نؤمن بالله وتدبيره، فاللهم اجعلنا ممن يؤمنون بقدرتك ويطمئنون بجوارك""",not bullying
"""لا أنام وحدي... ينام معي ندمي، وخوفي، وعتاب نفسي على نفسي""",not bullying
""" لا أن تكون من ضمنها """,not bullying
اللهم في يوم الجمعة اجعل قبور موتانا في نور دائم لا ينقطع و اجعلهم في مساكن جنتك آمنين مطمئنين يا أرحم الراحمين.,not bullying
اللهُم في يوم الجمعة بلّغ قلوبنا مُناها,not bullying
""" يا رب راضيني .. و ارضيني .. وارضي عني.""",not bullying
بشري جميله لك,not bullying
"ثق بالله أن اليوم هو يوم الجبر الكبير.. اكتب يا رب.""",not bullying
"""الإخلاص فِعل خفي، لا رقيب لهُ إلاّ الضمير.""",not bullying
وفي هدوء الفجر..,not bullying
يا الله,not bullying
"""أتمنى أن يدركوا من أحببناهم أننا لم نراهم أبدًا كخطةٍ بديلة، أو كممر جانبي، لطالما رأيناهم الحلول كلها.. لطالما كانوا الطريق والسفر ومحطة الوصول.""",not bullying
القوات المسلحة السعودية.. صقورٌ في السماء وأسودٌ على الأرض.,not bullying
"""كلي يقين أنّك يا رحيمُ ترعاني.""",not bullying
من نصيبك بإذن الله,not bullying
"ستتيسر الأمور وتزال العقبات وسيجمعك الله بمراد قلبك ويبلغك فرحة الإجابة ، اكتب يارب""",not bullying
"وراءَ كل شي لم يكتمل ، خير أرادهُ الله لك.""",not bullying
ريتويت لعلها تشفع لك,not bullying
"""ظننته أمان",not bullying
"ولكنه قد كان خوفًا لا ينتهي.""""""",not bullying
صباحكم خير وسعادة,not bullying
يارب,not bullying
"المُغادرة الصامتة هي الرد العظيم لكُل مَن استهان بطيبة قُلوبنا""",not bullying
الاهلي في المركز الرابع عالميا في التصنيف العالمي للانديه خلال عام 2023,not bullying
"نُحن في زمن يندم المُحترم على احترامه لبعض البشر.""",not bullying
سورة الكهف,not bullying
"""ابتعدت لأنني علمت جيدًا أن المحاولة مرة أخرى لن تغير شيء.""",not bullying
مع هدوء الفجر,not bullying
"""عندما يعجز الإنسان عن إخراج مابداخله، يبكي.""",not bullying
أحمد نبيل كوكا عبر ستوري إنستجرام يحيي ذكرى شهداء جماهير الأهلي (74),not bullying
"""هي بإذن الله وليس بإذن البشر"".",not bullying
يالله .,not bullying
الشخص اللي هلاقي نفسي عارفه اتناقش معاه في اي موضوع في الدنيا من غير ما يضايقني بالكلام ونوصل لحل سوا في كل مشكله هيبقى هو ده ودي الطف Green flag ممكن تتواجد في الانسان,not bullying
"""لا أحد معك يَعيش صراعاتك الداخليه سِوى الله، الله هو السند الوحيد.""",not bullying
"""عز عليّ إنطفاء نوره في صدري، لأني أيقنت أنه إنطفائه الأخير، الذي لا هو ولا الأيام تستطيع أن تُعيده""",not bullying
"""وكم مرةٍ فتح اللهُ للإنسان عن طريق التأخير، أبوابًا للخير لم يكن يتخيلها""",not bullying
"""عُد إلى الله، يعود إليك كُل شيء.""",not bullying
"ولا تحمّلنا أمورًا،",not bullying
"تستثقلها الروح والقلب معًا .""",not bullying
"ردد هذا الدعاء : اللهم ما أخشاه أن يكون صعبًا هوّنه وما أخشاه أن يكون عسيرًا يسّره وما أخشاه أن يكون شرًا إجعل لي فيه خيرًا ولا تجعلني أخشى سواك يارب .""""""",not bullying
أول لقاء بين علولو و سام ابو علي,not bullying
مش معنى اني مختش موقف اني مختش بالي,not bullying
الف سلامة عسسماوي,not bullying
"""لا وجود لنهاياتٍ جيدة، ولا وداع ودي، ولا رحيل هادئ أقل مشقة ووطئة، النهايات هي النهايات، بقدر ما جملناها إلَّا أنها تجيء بحقيقتها الموجعة، لتترك في القلب ندبة لا تبرأ""",not bullying
فرحتنا منقوصة بغيابك,not bullying
"""يامُدّبر الأمور دبر أمري بما هوا خيراٌ لي.""",not bullying
"""وهوَ الله الذي إذا ذهبتَ لهُ وأنتَ",not bullying
"تبكي نظَر إلى آلامك لا إلى أعمالك""""..""",not bullying
"""تقدير المعروف أهم من ردّه.""",not bullying
"«التناسب بين الأَرواح مِن أقوى أَسباب المحبة، فكُل امرئ يصبُو إلى ما يناسبُه»",not bullying
فيا رَبِّ لُطفكَ بمن ضَاقَت بهِ الحِيَلُ !,not bullying
"ستُبتلى بالتأخير في أشد ما يتمنّاه قلبك، فإن صَبرت أعطاك الله ما تريد وأكثر.""",not bullying
"يا وسام انا شعري شاب من كتر عرضياتي اللي محدش بيسجلها، ده انا لو معايا مهاجم هيدر كان زماني عامل اسيستات قد اللي عملته مرتين ولا حاجة",not bullying
"و الله ذنب ان فيه ناس بتتفرج على انتر ميامي دة في رقبة ميسي ، أنا لو لميت ٥ اصحابي هننزل نديهم سكور .",not bullying
"اللهم أنت الملك لا إله إلا أنت ، أنت ربى وأنا عبدك ، ظلمت نفسى واعترفت بذنبى ، فاغفر لى ذنوبى جميعا إنه لا يغفر الذنوب إلا أنت ، واهدني لأحسن الأخلاق لا يهدي لأحسنها إلا أنت ، واصرف عني سيئها لا يصرف عني سيئها إلا أنت ، لبيك وسعديك والخير كله في يديك استغفرك ربي واتوب اليك",not bullying
"""لا تستهين بقوة الدعاء مهما عزّ طلبك تَذكّر قُدرة الله""",not bullying
"بما انه خلاص شكله ممكن يمشي، محدش فينا هيقدر ينسى دور محمود متولي ومشاركته لما كان حاطط ايده على كتف طاهر وماشي جنبه في احتفال سطلانة.",not bullying
دائماٌ فى القلب لن ننساكم ابداٌ,not bullying
"""لَا أحد غَير الله يُوفي بالوعود.""",not bullying
"""ثُم أعود وأهدأ، لأن أموري كلها بيد الله.""",not bullying
وأجعلنا دوماً مطمئنين الأنفُس يارب .,not bullying
كلمات اخت الشهيد كريم خزام ومشاعرها لا يمكن تتنسي . رحم الله ال ٧٢,not bullying
صلاح محسن جاب جول في بيراميدز مجبوهوش مع الأهلي طول حياته..والله يا جماعة فانلة الأهلي ما تليق ولا يلبسها اي حد والنماذج كتير,not bullying
"حتى ولو قتلتم الآلاف وهدمتم البنيان، فلا يمكنكم تحطيم الروح الفلسطينية",not bullying
سعدت جدا بالتواجد مع احد رموزنا العالمين والعرب بنت تونس الخضرا انس جابر .,not bullying
"انس بطلة يحتذي بها لكل فتيات وطنا العربي""",not bullying
القائد محمد الشناوي كابتن النادي الأهلي عبر ستوري إنستجرام يحيي ذكرى شهدائنا,not bullying
اليوم.. الذكرى الـ12 لشهداء أحداث بورسعيد التي أودت بحياة 72 مشجعا للنادي الأهلي,not bullying
"رحم الله الشهداء وألهم ذويهم الصبر والسلوان""",not bullying
عااااااجل,not bullying
البنك المركزي المصري يرفع سعر الفائدة 2%,not bullying
"حد يقولنا بقا هيحصل ايه بعد القرار دة لانى مش ضليعه ف الاقتصاد !""",not bullying
رساله من نصيبك,not bullying
"لعلك تنام في يوم الجمعة علي أمر قد يأست منه ليوقظك الله بإنفراجه.. اكتب الصلاة على النبي ومررها بنيه الفرج""",not bullying
"كانت فرحة غير طبيعية ، الله لا يسامح إلي كان السبب",not bullying
الأدعية التي ستسبب لك المعجزات في حياتك..,not bullying
